auprc,auroc,coefficient_r,conflict_fraction,data_seed,f1,gradient_ratio_median,max_iter,mcc,method,missing_route,mse,norm_cap_fraction,root,run_id,train_seed,wall_seconds
0.8825825197054182,0.9328124999999999,0.9532264532462463,0.96,13001,0.75,3.6943727115737848,500,0.65,coverage_prediction_guarded,0.7688034685590672,0.0077423774637281895,0.806,gpu_phase8_it500_round1,phase8__coverage_prediction_guarded__ds13001__ts0__it500,0,376.60457940003835
0.9487200313223705,0.9546783625730996,0.9782400233178467,0.968,13002,0.8888888888888888,2.2781804485665265,500,0.8362573099415205,coverage_prediction_guarded,0.6087859819824917,0.008590280078351498,0.74,gpu_phase8_it500_round1,phase8__coverage_prediction_guarded__ds13002__ts0__it500,0,375.916609399952
0.8212883096545549,0.8918918918918919,0.9340020303343044,0.946,13003,0.6842105263157895,4.47807660290057,500,0.5220483641536273,coverage_prediction_guarded,0.8388771289929301,0.007841378450393677,0.834,gpu_phase8_it500_round1,phase8__coverage_prediction_guarded__ds13003__ts0__it500,0,375.93417340004817
0.9888148488562092,0.9953125,0.9922490593034914,,13001,0.9375,,500,0.9125,coverage_standard,0.5057421718935257,0.0093154925853014,,gpu_phase8_it500_round1,phase8__coverage_standard__ds13001__ts0__it500,0,397.43223629996646
0.9569492069285184,0.9459064327485375,0.9915637077905285,,13002,0.8888888888888888,,500,0.8362573099415205,coverage_standard,0.33058553563011805,0.009630926884710789,,gpu_phase8_it500_round1,phase8__coverage_standard__ds13002__ts0__it500,0,395.8558810999384
0.971319295779572,0.9800853485064012,0.9829030821920706,,13003,0.9473684210526315,,500,0.9203413940256046,coverage_standard,0.48870519761723347,0.00935592781752348,,gpu_phase8_it500_round1,phase8__coverage_standard__ds13003__ts0__it500,0,396.21292069996707
0.9858209978070176,0.99375,0.9914453062809464,0.24,13001,0.9375,0.0,500,0.9125,coverage_history_guarded,0.5231460795336405,0.009278723038733006,0.012,gpu_phase8_history_guard_it500,phase8__coverage_history_guarded__ds13001__ts0__it500,0,376.66340640001
0.9597824064851441,0.9473684210526311,0.9912321309341929,0.256,13002,0.9444444444444444,8.094294783306619e-19,500,0.9181286549707602,coverage_history_guarded,0.32910781298565644,0.009616774506866932,0.006,gpu_phase8_history_guard_it500,phase8__coverage_history_guarded__ds13002__ts0__it500,0,375.4522828999907
0.9363959024297952,0.9544807965860597,0.9790977275042307,0.22,13003,0.8421052631578947,0.0,500,0.7610241820768137,coverage_history_guarded,0.5754645087001052,0.009219127707183361,0.02,gpu_phase8_history_guard_it500,phase8__coverage_history_guarded__ds13003__ts0__it500,0,375.2283784999745
