auroc_partial,auroc_total,dataset,mask_c_delta,mask_x_delta,method,missing_route,mix_entropy_median,mix_max_source_share_median,mse,partial_total_jaccard,partial_total_r,root,run_id,shuffle_c_delta,shuffle_x_delta,tail_max,tail_median,train_seed,wall_seconds
,,mocap_run,0.560303159058094,1.1465115025639534,concat,0.927903294895869,0.9810769127774724,0.055444033816456795,0.03745096176862717,,0.6553271907124927,audit_cross_domain_it1000_stability,mocap_run__concat__ts1__it1000__H64,0.9846268370747566,1.636175461113453,0.6025771540846748,0.43883987033889127,1,83.0668435000116
,,mocap_run,0.5941367149353027,1.2408047914505005,concat,0.9133363874828095,0.9772198109191956,0.06196276657283306,0.03610396385192871,,0.49184699068736193,audit_cross_domain_it1000_stability,mocap_run__concat__ts2__it1000__H64,0.9866722822189331,1.6485340595245361,0.5959595333101512,0.3850528114120687,2,83.17135369998869
,,mocap_salsa,,1.0179542899131775,baseline,0.0,,,0.10595053434371948,,1.0,audit_cross_domain_it1000_stability,mocap_salsa__baseline__ts1__it1000__H64,,2.0497687458992004,0.0,0.0,1,53.565051799989305
,,mocap_salsa,,1.0590901598334312,baseline,0.0,,,0.10803601890802383,,1.0,audit_cross_domain_it1000_stability,mocap_salsa__baseline__ts2__it1000__H64,,1.9822526201605797,0.0,0.0,2,53.74981750000734
,,mocap_salsa,0.9821907505393028,1.4352078661322594,concat,0.9075140850650422,0.979956288234759,0.0576932393014431,0.056618429720401764,,0.4625491611133468,audit_cross_domain_it1000_stability,mocap_salsa__concat__ts1__it1000__H64,1.4067089781165123,1.770078681409359,0.5644984872720715,0.3543402478183977,1,82.99782600009348
,,mocap_salsa,0.9611262679100037,1.4154723286628723,concat,0.9142080034968739,0.9782124308550844,0.059375232085585594,0.058351337909698486,,0.4011515336432779,audit_cross_domain_it1000_stability,mocap_salsa__concat__ts2__it1000__H64,1.3747356534004211,1.7376073002815247,0.5786625183127283,0.41978885461226356,2,82.99198379996233
0.590567129629629,0.590567129629629,netsim48,,2.3313215827802196,baseline,0.0,,,0.0006975078722462058,1.0,1.0,audit_cross_domain_it1000_stability,netsim48__baseline__ts1__it1000__H64,,2.2727514362195507,0.0,0.0,1,27.07427480001934
0.6192129629629627,0.6192129629629627,netsim48,,2.6917408267909195,baseline,0.0,,,0.00018589096725918353,1.0,1.0,audit_cross_domain_it1000_stability,netsim48__baseline__ts2__it1000__H64,,2.228261784737697,0.0,0.0,2,25.454705100040883
0.538194444444444,0.4869791666666664,netsim48,0.8644022950757062,1.6271747955906903,concat,0.8557930484289291,0.9727499857452859,0.11749066412448883,4.440454358700663e-05,0.02857142857142857,0.18123602695313415,audit_cross_domain_it1000_stability,netsim48__concat__ts1__it1000__H64,1.2602687487233197,1.8129717716801679,0.5898066504106794,0.33781453568946207,1,44.188387600006536
0.616030092592592,0.5358796296296291,netsim48,0.9143337034911383,1.6892502331465948,concat,0.8043992631170946,0.9613992113420753,0.12973731756210327,0.0001100278168451041,0.16129032258064516,0.4467123273040454,audit_cross_domain_it1000_stability,netsim48__concat__ts2__it1000__H64,1.2991814636916388,1.9682933115691412,0.3752444302377412,0.24354121065809353,2,44.23831489996519
0.5124421296296303,0.5124421296296303,netsim49,,3.1526149676647037,baseline,0.0,,,0.0004874302539974451,1.0,1.0,audit_cross_domain_it1000_stability,netsim49__baseline__ts1__it1000__H64,,2.1491631434764713,0.0,0.0,1,25.477877199999057
0.5451388888888884,0.5451388888888884,netsim49,,2.354339580895612,baseline,0.0,,,0.00041605913429521024,1.0,1.0,audit_cross_domain_it1000_stability,netsim49__baseline__ts2__it1000__H64,,2.190884571435163,0.0,0.0,2,25.476834299974144
0.6151620370370369,0.5596064814814811,netsim49,0.8863503808534006,1.7229438895737985,concat,0.8079025167018151,0.9642286588233085,0.130347840487957,0.00011504940630402416,0.02857142857142857,0.2976478859908091,audit_cross_domain_it1000_stability,netsim49__concat__ts1__it1000__H64,1.2910742635285715,1.8553328389680246,0.5059000944020193,0.26168103305913265,1,44.27592350007035
0.552951388888889,0.635416666666666,netsim49,0.9562013264221605,1.5875895734352525,concat,0.8161020409843819,0.9650962316570955,0.12305044010281563,0.00011031670146621764,0.125,0.3559817257464413,audit_cross_domain_it1000_stability,netsim49__concat__ts2__it1000__H64,1.5087652917427476,1.8966722007317003,0.4135896363961707,0.23652212828388225,2,44.219398899935186
,,mocap_run,0.7261379808187485,1.5079495161771774,tcn_concat,0.7366240259468412,0.9715754203061816,0.0613305289298296,0.04350335896015167,,0.8457213077584167,audit_active_tcn_architecture_seed0,mocap_run__tcn_concat__ts0__it1000__H64,0.9865415543317795,1.8218785971403122,0.4369196519717559,0.3656628242469378,0,57.124172599986196
,,mocap_salsa,0.8574867099523544,1.4210559576749802,tcn_concat,0.6761295708418857,0.9726536371019794,0.059288470074534416,0.06489308178424835,,0.8665699539800235,audit_active_tcn_architecture_seed0,mocap_salsa__tcn_concat__ts0__it1000__H64,1.2843968123197556,1.9037306755781174,0.49150691317442824,0.34834797799289585,0,57.21688769990578
0.49942129629629645,0.4852430555555554,netsim48,0.70117110630963,1.9173809351632372,tcn_concat,0.47866238275767753,0.9627441171683875,0.12543462216854095,0.00018345692660659552,0.7142857142857143,0.7857605055913104,audit_active_tcn_architecture_seed0,netsim48__tcn_concat__ts0__it1000__H64,0.9859659733483568,2.053634292096831,0.23601958289390143,0.1544559301085929,0,30.01811120007187
0.5034722222222224,0.4904513888888893,netsim49,0.7689766930125188,1.8961960719607305,tcn_concat,0.5247377433680054,0.9650412599853412,0.1288464516401291,0.00024801029940135777,0.44,0.8250439942035458,audit_active_tcn_architecture_seed0,netsim49__tcn_concat__ts0__it1000__H64,1.0336684630892705,1.991172735550208,0.27712892941120554,0.20193658556113675,0,27.928917599958368
,,mocap_run,0.5743418298661709,1.276004072278738,tcn_concat,0.7557445752461541,0.9751829057457475,0.05847778357565403,0.04454708471894264,,0.8011973684632553,audit_active_tcn_architecture_stability,mocap_run__tcn_concat__ts1__it1000__H64,0.8532638512551785,1.749073501676321,0.442287280141153,0.3790084525179307,1,56.88744569988921
,,mocap_run,0.6305875442922115,1.6393620632588863,tcn_concat,0.7793189421702172,0.9734336464481178,0.05978315509855747,0.04211524501442909,,0.7883358897029552,audit_active_tcn_architecture_stability,mocap_run__tcn_concat__ts2__it1000__H64,0.9408912919461727,1.889950480312109,0.4534765782148805,0.3823367418064887,2,57.058453000034206
,,mocap_salsa,1.2251310907304287,1.5297108255326748,tcn_concat,0.7555129551811631,0.9724104337769812,0.06173042953014374,0.06175905838608742,,0.7661540653112049,audit_active_tcn_architecture_stability,mocap_salsa__tcn_concat__ts1__it1000__H64,1.5981220565736294,1.8547138534486294,0.4873227915324943,0.39333938914922,1,56.82574400003068
,,mocap_salsa,1.0732938200235367,1.6176006942987442,tcn_concat,0.7679409578995307,0.9702529913756972,0.06262471526861191,0.07092736661434174,,0.6633235783835998,audit_active_tcn_architecture_stability,mocap_salsa__tcn_concat__ts2__it1000__H64,1.453153744339943,1.8793316036462784,0.4868037788024648,0.4014553198164119,2,56.553083700011484
0.533275462962963,0.5911458333333331,netsim48,0.7098082988959504,1.9741914361220552,tcn_concat,0.5229162975756945,0.9546784861905679,0.13027936220169067,0.0001637846726225689,0.3333333333333333,0.6880292964066018,audit_active_tcn_architecture_stability,netsim48__tcn_concat__ts1__it1000__H64,1.0028884499770356,2.0790197938185884,0.21857207553348326,0.16587696460784213,1,30.30246880010236
0.655381944444444,0.613136574074074,netsim48,0.5644646979053505,1.9177090621669777,tcn_concat,0.4638998074671499,0.9545512751984504,0.13038531690835953,8.051627082750201e-05,0.44,0.8185024451234879,audit_active_tcn_architecture_stability,netsim48__tcn_concat__ts2__it1000__H64,0.8545436359127052,2.0338028169353493,0.22823058809613092,0.15142556469350554,2,27.757225699955598
0.45254629629629606,0.4505208333333333,netsim49,0.7442933571874164,1.998943294340279,tcn_concat,0.5487324164083036,0.9668650634291518,0.12037381902337074,0.0002103197039104998,0.38461538461538464,0.7848240432225403,audit_active_tcn_architecture_stability,netsim49__tcn_concat__ts1__it1000__H64,1.1322338235913776,2.035107101255562,0.25175923137073986,0.19121943218899945,1,27.792191799962893
0.5390624999999998,0.49421296296296274,netsim49,0.7155734400439542,1.903156528918771,tcn_concat,0.5271491072993083,0.9721442925242489,0.1149507537484169,9.833768126554787e-05,0.16129032258064516,0.7305145119044572,audit_active_tcn_architecture_stability,netsim49__tcn_concat__ts2__it1000__H64,1.0896839003253262,2.060093055217294,0.2708164615961142,0.17796904133439093,2,27.712160299997777
