auprc,auroc,cell,context_kernel_norm,cross_variable_leakage,data_seed,f1,gate_mean,gate_std,identity_deviation,max_iter,mcc,method,mse,root,run_id,temporal_mass_median,train_seed,wall_seconds
0.8837152777777778,0.8920454545454546,NS+Linear,,0.0,0,0.75,0.09709018468856812,,0.005835368763655424,500,0.6590909090909091,adaptive_fir,0.01547493226826191,gpu_d2_it500_round1,d2__NS_Linear__adaptive_fir__ds0__ts0__it500,0.02861356537945397,0,12.608675099909306
0.5236187423687423,0.8125,NS+Linear,,0.0,101,0.3333333333333333,0.09328872710466385,,0.005332296248525381,500,0.16666666666666666,adaptive_fir,0.017408793792128563,gpu_d2_it500_round1,d2__NS_Linear__adaptive_fir__ds101__ts0__it500,0.02569940656479265,0,12.573359399917535
0.5940972222222222,0.9134615384615384,NS+Linear,,0.0,102,0.5,0.09716198593378067,,0.006390349939465523,500,0.4230769230769231,adaptive_fir,0.019252518191933632,gpu_d2_it500_round1,d2__NS_Linear__adaptive_fir__ds102__ts0__it500,0.0276485459635389,0,12.624186400091276
0.9206845238095238,0.9261363636363636,NS+Linear,,0.0,0,0.875,,,0.0,500,0.8295454545454546,baseline,0.015223510563373566,gpu_d2_it500_round1,d2__NS_Linear__baseline__ds0__ts0__it500,0.0,0,5.720240599941462
0.5290343915343915,0.826388888888889,NS+Linear,,0.0,101,0.3333333333333333,,,0.0,500,0.16666666666666666,baseline,0.017331363633275032,gpu_d2_it500_round1,d2__NS_Linear__baseline__ds101__ts0__it500,0.0,0,5.73062230006326
0.6357638888888889,0.9230769230769231,NS+Linear,,0.0,102,0.5,,,0.0,500,0.4230769230769231,baseline,0.01933932863175869,gpu_d2_it500_round1,d2__NS_Linear__baseline__ds102__ts0__it500,0.0,0,5.759041400044225
0.9285130718954249,0.9431818181818182,NS+Linear,,0.0,0,0.875,,,7.591013127239421e-05,500,0.8295454545454546,cp_depthwise,0.015261458232998848,gpu_d2_it500_round1,d2__NS_Linear__cp_depthwise__ds0__ts0__it500,0.0045009854549677465,0,17.58718469995074
0.5407196969696969,0.8194444444444445,NS+Linear,,0.0,101,0.5,,,0.00013565189146902412,500,0.375,cp_depthwise,0.017271380871534348,gpu_d2_it500_round1,d2__NS_Linear__cp_depthwise__ds101__ts0__it500,0.005297896554659591,0,17.6053694000002
0.625,0.9134615384615384,NS+Linear,,0.0,102,0.5,,,0.00017909238522406667,500,0.4230769230769231,cp_depthwise,0.019317932426929474,gpu_d2_it500_round1,d2__NS_Linear__cp_depthwise__ds102__ts0__it500,0.008662702194398377,0,17.548105099936947
0.8399549755799756,0.8750000000000001,NS+Linear,,0.0,0,0.75,,,0.006595651153475046,500,0.6590909090909091,fixed_fir3,0.015308876521885395,gpu_d2_it500_round1,d2__NS_Linear__fixed_fir3__ds0__ts0__it500,0.029067270274654652,0,7.245763599989004
0.5191926129426129,0.8055555555555555,NS+Linear,,0.0,101,0.3333333333333333,,,0.006545079872012138,500,0.16666666666666666,fixed_fir3,0.01743808388710022,gpu_d2_it500_round1,d2__NS_Linear__fixed_fir3__ds101__ts0__it500,0.02971401567508828,0,7.207845799974166
0.5940972222222222,0.9134615384615384,NS+Linear,,0.0,102,0.5,,,0.006619324441999197,500,0.4230769230769231,fixed_fir3,0.019287334755063057,gpu_d2_it500_round1,d2__NS_Linear__fixed_fir3__ds102__ts0__it500,0.03035037867546781,0,7.202807300025597
0.7618709415584415,0.8693181818181818,NS+Nonlinear,,0.0,0,0.625,0.09744163602590561,,0.005938083864748478,500,0.48863636363636365,adaptive_fir,0.01616121269762516,gpu_d2_it500_round1,d2__NS_Nonlinear__adaptive_fir__ds0__ts0__it500,0.028181539732991475,0,12.583245799993165
0.554134267292162,0.8125,NS+Nonlinear,,0.0,101,0.5,0.09467288851737976,,0.005592769011855125,500,0.375,adaptive_fir,0.017776483669877052,gpu_d2_it500_round1,d2__NS_Nonlinear__adaptive_fir__ds101__ts0__it500,0.026707511660101216,0,12.608585100038908
0.4515151515151515,0.8076923076923077,NS+Nonlinear,,0.0,102,0.25,0.09792245179414749,,0.006459301337599754,500,0.1346153846153846,adaptive_fir,0.01956099458038807,gpu_d2_it500_round1,d2__NS_Nonlinear__adaptive_fir__ds102__ts0__it500,0.027631078078738477,0,12.617379900068045
